recrd,vesslterms,feature_type,chart,latitude,longitude,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,Wrecks - Visible,"US,US,graph,Chart 16712",60.719686,-147.417268,,,,,,,always dry
,,,"US,US,graph,chart 16665",61.2944861,-149.914236,,,,,,,covers and uncovers
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16646",59.3201991,-151.9929969,,8.7,,,,value reported (not surveyed),always under water/submerged
,,,"US,US,graph,Chart 16646",59.3202083,-151.9765228,,8.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16646",59.3466772,-152.0033816,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.3442676,-151.8215213,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.412357,-151.7188801,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4460678,-151.7400253,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4487898,-151.7443124,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4515732,-151.7432178,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4454832,-151.7377579,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4455782,-151.7379266,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16646",59.4739807,-151.735096,,,,,PD,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4296672,-151.7151562,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4333537,-151.7141014,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.4367711,-151.709825,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.6092174,-151.4358939,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.6102251,-151.4378285,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16646",59.6104419,-151.4383962,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,H-11368",60.8929176,-146.8241022,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,H-11351",60.8990222,-146.7026361,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,reprt,L-563/08",61.1267608,-146.4307377,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-189751-753",61.1253333,-146.3466306,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,reprt,17thGCD,LNM 39/97",60.1258333,-147.8933333,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16706",60.778446,-148.66348,,9.3,,,,"least depth unknown, safe clearance at value shown",always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16706",60.795108,-148.533492,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,H-11497",60.5821239,-145.7847141,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11497",60.5845708,-145.786321,,6,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,H-11497",60.5848708,-145.7807264,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11497",60.5798336,-145.7930699,,5.7,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 16710",60.5652286,-145.745127,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 16710",60.5797581,-145.7964435,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11497",60.5494755,-145.7747997,,4.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.2006114,-134.2565702,,14.6,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17315",58.1505027,-134.2761203,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.3052117,-134.4356115,,2.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17315",58.3783589,-134.6466567,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.3462529,-134.5245585,,,,,,depth unknown,covers and uncovers
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.3750049,-134.7194045,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.3842772,-134.6520938,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17315",58.2997408,-134.4283184,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17316",58.2564165,-134.8876607,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17312",58.118588,-134.754662,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16741",59.8833547,-141.5333804,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17323",57.4076417,-135.6661929,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17323",57.4088649,-135.622469,,43.8,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17324",57.2282206,-135.5141575,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17324",57.1304456,-135.3786089,,38.4,,,,least depth known,always under water/submerged
