recrd,vesslterms,feature_type,chart,latitude,longitude,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.388943,-76.049337,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.448583,-76.2777,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.304297,-76.336472,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.450084,-76.016198,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-43/02",39.571398,-76.080798,,,,,,,partly submerged at high water
,,Wrecks - Visible,"US,US,graph,Chart 12274",39.577706,-76.109495,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12274",39.335442,-76.129004,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-967/01",39.364277,-75.914469,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.335098,-76.138744,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.39141,-76.249093,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.438983,-76.074245,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-43/02",39.573067,-76.081611,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.530998,-76.027161,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12274",39.431516,-76.249861,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,NIMA,NM 38/69",39.415109,-76.026323,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12274",39.336499,-76.128985,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.396316,-76.262214,,0.6,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.456866,-76.01192,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12274",39.550193,-76.003765,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.448743,-75.975399,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.578967,-75.949911,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,5thCGD,LNM 18/72",39.39844,-76.044381,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.434369,-76.247798,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.537984,-75.995554,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12274",39.316634,-76.225023,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.594332,-75.949859,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.503949,-75.989778,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.312843,-76.373093,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.591431,-75.946901,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12274",39.373462,-75.946048,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.574085,-75.96689,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12277",39.490625,-75.9255822,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1553/05",39.5738188,-75.5763946,,3.9,,,,"least depth unknown, safe clearance at value shown",always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11023",39.5655232,-75.561843,,3,,,,"least depth unknown, safe clearance at value shown",always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,DD-20904",39.5810113,-75.5492957,,4.5,,,Wrecks,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.666662,-76.520499,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.687587,-76.527812,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5111621,-76.3514854,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.733299,-76.5246081,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,5thCGD,LNM 14/07",38.6491111,-76.3957778,,,,,Reported,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12266",38.7767459,-76.3102154,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12266",38.721223,-76.335571,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12266",38.689339,-76.332621,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5073421,-76.392728,,17.6,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.511788,-76.3918762,,13.4,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.632601,-76.3709299,,1.8,"Wire-drag clearance, feet/fathoms",,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,DD-22194",38.6599219,-76.2830247,,2.4,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.628083,-76.433689,,14,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5958724,-76.4117114,,14,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.740128,-76.488555,,9.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7566806,-76.5237587,,5.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.617435,-76.408849,,12.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.751352,-76.5226489,,5.4,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7683859,-76.4935271,,7.6,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12266",38.626362,-76.420373,,20.4,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.721194,-76.48567,,7.6,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",38.5423247,-76.423471,,17,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.575503,-76.3728209,,8.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5835425,-76.4783125,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7635085,-76.5331256,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5252606,-76.2067228,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.6939258,-76.520774,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7306844,-76.5288278,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.768384,-76.5545278,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12266",38.777788,-76.431431,,20.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.779293,-76.2271788,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.662191,-76.1645955,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7116286,-76.330269,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.666399,-76.32681,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7458069,-76.4576317,,11.5,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.732403,-76.407267,,10.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7818678,-76.3383959,,2.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.706914,-76.4160015,,12.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7031233,-76.424537,,18.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.607541,-76.430231,,16.4,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12266",38.5141336,-76.2245407,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.750739,-76.44904,,13.4,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.908624,-76.236118,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.8886926,-76.1884901,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.863789,-76.257844,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.763202,-76.181749,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.862544,-76.175477,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",39.0190804,-76.2118078,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.787621,-76.216705,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12270",38.84083,-76.266718,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12270",38.927097,-76.167406,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12270",38.83875,-76.268452,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12272",39.1258174,-76.1486479,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",39.1867425,-76.0702216,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",39.1423646,-76.2473007,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",39.1317163,-76.2395475,,0.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",39.1480932,-76.2591889,,0.3,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12272",39.1313631,-76.2396141,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12272",39.1494752,-76.246899,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12272",39.1308137,-76.2442774,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12272",38.978298,-76.2480851,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",38.961668,-76.225104,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12272",38.9702933,-76.2490967,,,,,,depth unknown,always under water/submerged
,,,"US,US,graph,Chart 12272",38.9657898,-76.2412722,,,,,Wrecks,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12272",38.972874,-76.2327882,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12272",38.9626072,-76.232812,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12268",38.6913374,-75.9853969,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12268",38.6307174,-75.9535559,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12268",38.6251132,-75.9898638,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12268",38.6129849,-75.9635501,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-17806",38.2984085,-76.3612238,,5.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.500734,-76.662689,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-189868",38.3839917,-76.3388,,18.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11450",38.3066795,-76.3553095,,10.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.362416,-76.38517,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.3350531,-76.5078313,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12264",38.48307,-76.684904,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12264",38.563389,-76.670263,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11450",38.3199047,-76.3676161,,8.5,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-189868",38.425158,-76.416039,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-189868",38.4621944,-76.3651028,,16.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-189868",38.466938,-76.351124,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.529582,-76.654133,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.436064,-76.482512,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,H-11450",38.32927,-76.3004258,,25.6,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12264",38.66274,-76.682629,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.397063,-76.491319,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11450",38.3115539,-76.3437135,,11.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.3469156,-76.2321806,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.471751,-76.292076,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.464377,-76.469746,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.335517,-76.198359,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,H-11450",38.3518009,-76.3113993,,39,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12264",38.393153,-76.223258,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12264",38.558538,-76.65338,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12264",38.323328,-76.228441,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.505052,-76.682773,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.390462,-76.552279,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.507494,-76.664685,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.353162,-76.51593,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,H-11450",38.3415976,-76.3041568,,41.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.393779,-76.502047,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.708752,-76.701983,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,BP-189868",38.4240861,-76.3907722,,11.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.415657,-76.551418,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12264",38.421824,-76.54069,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11450",38.3183648,-76.3432158,,11.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11450",38.3142523,-76.3567476,,10.6,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12264",38.4992629,-76.6528298,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12264",38.630593,-76.681741,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,reprt,FE-00605",38.4000492,-76.370675,,13.4,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12264",38.4173983,-76.5506465,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",38.9458171,-76.3940181,,16.4,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,reprt,DD-14719",38.939692,-76.3860139,,24,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0681348,-76.5749108,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0169065,-76.3877617,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12282",38.9917221,-76.5163814,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",38.9874927,-76.3806367,,15.5,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0668881,-76.4162817,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",39.0134087,-76.3717277,,15.5,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12282",38.9410263,-76.3865277,,28.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0405725,-76.5591888,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0176575,-76.3561026,,14.3,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0630985,-76.5107395,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",38.9901035,-76.3991957,,7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0675542,-76.5641798,,0.6,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0983507,-76.4416537,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",38.9923765,-76.5053343,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.098679,-76.4206145,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0516214,-76.5537763,,5.7,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",38.9790696,-76.4103597,,7.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",38.9334276,-76.3837522,,15.5,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0122032,-76.4397356,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",38.9326599,-76.3936577,,15.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",38.9726742,-76.3895717,,14.3,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0776528,-76.4575086,,0.3,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0016379,-76.4066634,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12282",39.0269978,-76.3962051,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12282",39.0083093,-76.396641,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12261",38.359331,-75.613748,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12261",38.262915,-76.173903,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12261",38.304247,-76.181851,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12261",38.267581,-75.79195,,,,,Wrecks,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12261",38.280176,-76.084028,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12261",38.288244,-75.761358,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12261",38.425295,-75.824678,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12261",38.279011,-76.082737,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12261",38.265164,-75.797505,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12261",38.268085,-75.786652,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12261",38.357523,-75.616842,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12261",38.34304,-75.71903,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12261",38.341588,-75.644213,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12261",38.352915,-75.620582,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12261",38.358327,-75.615047,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12261",38.266541,-75.786319,,,,,Wrecks,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12261",38.342083,-75.666575,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12261",38.35877,-75.614184,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12284",38.3200681,-76.4896115,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12284",38.3174532,-76.4813305,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3171237,-76.4795611,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3172234,-76.4791243,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3175831,-76.4788664,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12284",38.3391907,-76.4638959,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12284",38.3420436,-76.4569626,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3387972,-76.4511166,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3216862,-76.4248712,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3345596,-76.4369512,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3444335,-76.4274364,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12284",38.3458626,-76.4257588,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 12284",38.3176362,-76.4792974,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-5286",38.3058611,-76.4507778,,13.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12284",38.3316524,-76.4878038,,30.7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-5286",38.3138056,-76.4405,,5.4,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-5383",38.3136389,-76.4251111,,12.1,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3127539,-76.4166858,,8.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3309688,-76.4495726,,2.7,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3298323,-76.4428193,,0.3,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3317558,-76.44913,,2.7,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12284",38.3325822,-76.4409372,,1.5,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12283",38.9608468,-76.4813616,,,,,Wrecks,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12283",39.0001256,-76.4565275,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12283",38.973707,-76.4454258,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12283",39.0082408,-76.4559378,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12283",38.9617905,-76.4830086,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 12283",39.0030463,-76.4638497,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12283",38.9441714,-76.431112,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12283",39.0025826,-76.4590573,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12283",38.9612377,-76.48378,,,,,,depth unknown,always under water/submerged
